Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,1663203410,1663203410,3637332919,5611462428,7585591937,9559721446,11533850955,13507980464,15482109973,17456239482,19430368991,21404498500,23378628009,25352757518,25620370017,28483515604,30065529260,34196594612,35431559621,42879503311,46495656382,49338254431,56460103814
Angola,43729065677,43204316892,40223219029,30288083929,31348166869,34608376224,38484514351,41524790993,44350454235,45787320108,47166469064,49157349288,55951776111,58887884518,65294571339,77218322301,93229637862,114000000000,130000000000,133000000000,138000000000,143000000000,151000000000
Albania,14295906038,10065890732,9341146601,10237896676,11087642099,12562298497,13705467660,12307509958,13870563724,15271490657,16386309479,17533351140,18041818323,19070201967,20195343886,21306070014,22371375691,23691310100,25476758062,26331309497,27307386302,28002457450,28457132960
Arab World,2230000000000,2180000000000,2290000000000,2380000000000,2460000000000,2530000000000,2650000000000,2780000000000,2940000000000,3040000000000,3190000000000,3260000000000,3310000000000,3430000000000,3750000000000,3980000000000,4260000000000,4500000000000,4780000000000,4880000000000,5100000000000,5250000000000,5570000000000
United Arab Emirates,207000000000,209000000000,216000000000,219000000000,234000000000,250000000000,264000000000,286000000000,287000000000,295000000000,327000000000,332000000000,340000000000,370000000000,405000000000,425000000000,466000000000,481000000000,496000000000,470000000000,478000000000,502000000000,525000000000
Armenia,13241360920,11692121893,6804814620,6205991016,6541114704,6992451514,7402586818,7648432626,8206768207,8477591558,8977769460,9835742702,11132713294,12695834752,14024814657,15969454960,18077104187,20562561750,21981378511,18871015949,19286178300,20192628680,21646497945
Antigua & Barbuda,1061918330,1083543618,1092734104,1151633582,1224504603,1173359266,1252438531,1313630693,1371531251,1428060346,1500059854,1452144313,1494608664,1582994312,1666678042,1768065875,2004569442,2194982380,2196543254,1932166977,1794152458,1761975489,1832798831
Australia,488000000000,486000000000,488000000000,508000000000,528000000000,549000000000,570000000000,593000000000,619000000000,650000000000,675000000000,688000000000,715000000000,737000000000,767000000000,792000000000,816000000000,847000000000,878000000000,893000000000,911000000000,932000000000,966000000000
Austria,238000000000,247000000000,252000000000,253000000000,259000000000,266000000000,272000000000,278000000000,288000000000,299000000000,309000000000,313000000000,318000000000,321000000000,329000000000,336000000000,348000000000,360000000000,366000000000,352000000000,358000000000,369000000000,373000000000
Azerbaijan,60946791250,60520163735,46842606492,36021964604,28925637570,25512412077,25844073485,27343029882,30077332946,32303055759,35888694708,39441675484,43622492770,48508212064,53456049887,67568447490,90879561543,114000000000,126000000000,138000000000,144000000000,145000000000,148000000000
