Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,,,,,,,,,,,,,23378628009,25352757518,25620370017,28483515604,30065529260,34196594612,35431559621,42879503311,46495656382,49338254431,56460103814
Angola,43729065677,43204316892,40223219029,30288083929,31348166869,34608376224,38484514351,41524790993,44350454235,45787320108,47166469064,49157349288,55951776111,58887884518,65294571339,77218322301,93229637862,1.14E+11,1.30E+11,1.33E+11,1.38E+11,1.43E+11,1.51E+11
Albania,14295906038,10065890732,9341146601,10237896676,11087642099,12562298497,13705467660,12307509958,13870563724,15271490657,16386309479,17533351140,18041818323,19070201967,20195343886,21306070014,22371375691,23691310100,25476758062,26331309497,27307386302,28002457450,28457132960
Arab World,2.23E+12,2.18E+12,2.29E+12,2.38E+12,2.46E+12,2.53E+12,2.65E+12,2.78E+12,2.94E+12,3.04E+12,3.19E+12,3.26E+12,3.31E+12,3.43E+12,3.75E+12,3.98E+12,4.26E+12,4.50E+12,4.78E+12,4.88E+12,5.10E+12,5.25E+12,5.57E+12
United Arab Emirates,2.07E+11,2.09E+11,2.16E+11,2.19E+11,2.34E+11,2.50E+11,2.64E+11,2.86E+11,2.87E+11,2.95E+11,3.27E+11,3.32E+11,3.40E+11,3.70E+11,4.05E+11,4.25E+11,4.66E+11,4.81E+11,4.96E+11,4.70E+11,4.78E+11,5.02E+11,5.25E+11
Armenia,13241360920,11692121893,6804814620,6205991016,6541114704,6992451514,7402586818,7648432626,8206768207,8477591558,8977769460,9835742702,11132713294,12695834752,14024814657,15969454960,18077104187,20562561750,21981378511,18871015949,19286178300,20192628680,21646497945
Antigua & Barbuda,1061918330,1083543618,1092734104,1151633582,1224504603,1173359266,1252438531,1313630693,1371531251,1428060346,1500059854,1452144313,1494608664,1582994312,1666678042,1768065875,2004569442,2194982380,2196543254,1932166977,1794152458,1761975489,1832798831
Australia,4.88E+11,4.86E+11,4.88E+11,5.08E+11,5.28E+11,5.49E+11,5.70E+11,5.93E+11,6.19E+11,6.50E+11,6.75E+11,6.88E+11,7.15E+11,7.37E+11,7.67E+11,7.92E+11,8.16E+11,8.47E+11,8.78E+11,8.93E+11,9.11E+11,9.32E+11,9.66E+11
Austria,2.38E+11,2.47E+11,2.52E+11,2.53E+11,2.59E+11,2.66E+11,2.72E+11,2.78E+11,2.88E+11,2.99E+11,3.09E+11,3.13E+11,3.18E+11,3.21E+11,3.29E+11,3.36E+11,3.48E+11,3.60E+11,3.66E+11,3.52E+11,3.58E+11,3.69E+11,3.73E+11
Azerbaijan,60946791250,60520163735,46842606492,36021964604,28925637570,25512412077,25844073485,27343029882,30077332946,32303055759,35888694708,39441675484,43622492770,48508212064,53456049887,67568447490,90879561543,1.14E+11,1.26E+11,1.38E+11,1.44E+11,1.45E+11,1.48E+11
Burundi,5889202771,6183476602,6245929615,5856183607,5631891775,5185845946,4770978271,4695119716,4918137902,4868464710,4826748585,4925977226,5145011760,5082050812,5327699756,5375649054,5665109338,5936231951,6235899991,6452187532,6696461064,6977151646,7257588874
Belgium,3.07E+11,3.13E+11,3.17E+11,3.14E+11,3.24E+11,3.32E+11,3.37E+11,3.50E+11,3.57E+11,3.70E+11,3.83E+11,3.87E+11,3.93E+11,3.97E+11,4.10E+11,4.18E+11,4.29E+11,4.42E+11,4.46E+11,4.34E+11,4.45E+11,4.52E+11,4.53E+11
Benin,6810869618,7098683306,7308641831,7735186746,7891468493,8368523440,8730402163,9231063520,9596707067,10109310316,10600791377,11263172344,11761130071,12217756928,12598933485,12959922766,13446199089,14068273569,14773746618,15167204375,15563293957,16071236078,16938422239
Burkina Faso,7235850446,7892140957,7910506819,8184319910,8291944312,8765942850,9731489002,10346211080,11102283178,11924316094,12141367491,12944324635,13507791646,14561728970,15213872267,16531676827,17565428799,18558754697,19912522715,20502334500,22234028342,23684080409,25212337086
Bangladesh,1.37E+11,1.42E+11,1.49E+11,1.56E+11,1.62E+11,1.71E+11,1.78E+11,1.86E+11,1.96E+11,2.05E+11,2.16E+11,2.27E+11,2.36E+11,2.47E+11,2.60E+11,2.77E+11,2.95E+11,3.16E+11,3.35E+11,3.52E+11,3.72E+11,3.96E+11,4.21E+11
Bulgaria,81370074831,74498082970,69080293423,68057756707,69295054250,71277024092,72417456470,71628920350,74109298558,69924923170,74147227527,76963985917,80412144594,84719961759,90277349602,95653628264,1.02E+11,1.09E+11,1.15E+11,1.09E+11,1.10E+11,1.12E+11,1.13E+11
