"Data Source","World Development Indicators",

"Last Updated Date","2015-11-12",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3671232222.36581","","","","",
"Andorra","AND","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23378628008.9566","25352757518.2174","25620370017.4831","28483515603.8497","30065529260.2352","34196594611.8752","35431559620.9183","42879503310.6483","46495656381.9102","49338254430.557","56460103813.5996","57552122862.0268","58702321146.1393","",
"Angola","AGO","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43729065677.4133","43204316891.835","40223219028.8491","30288083929.4433","31348166868.928","34608376223.6256","38484514350.5512","41524790992.7711","44350454234.607","45787320107.7092","47166469063.6097","49157349287.8941","55951776111.0077","58887884518.1376","65294571338.501","77218322300.7962","93229637862.261","114293060567.375","130085099395.258","133223883333.083","137763693380.123","143162097316.44","150542734126.265","160779728086.665","167052171551.445","",
"Albania","ALB","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14295906038.4081","10065890732.1156","9341146600.76126","10237896675.5486","11087642099.284","12562298496.9741","13705467659.7417","12307509958.448","13870563723.6932","15271490657.1573","16386309478.6902","17533351139.674","18041818322.7289","19070201967.477","20195343886.1175","21306070014.3417","22371375691.3727","23691310100.1967","25476758062.2728","26331309496.6814","27307386301.8876","28002457450.2638","28457132960.0602","28860490986.9875","29408840315.7403","",
"Arab World","ARB","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2226971604644.26","2179329727438.9","2292751747374.28","2380709581258.62","2457320661910.54","2527107867512.92","2651797997238.12","2780208434332.91","2940178704640.25","3042190818466.84","3184997882546.43","3264940901915.94","3312315434120.28","3427627438722.68","3753612363039.2","3980365140417.41","4258134243034.02","4495983762030.36","4775012448460.91","4879221125614.49","5096754667422.63","5251009671861.37","5574257390514.11","5750511758944.54","5847895750457.88","",
"United Arab Emirates","ARE","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","207443910493.647","209228098113.039","216226662652.748","218953693758.379","234053065724.878","249706269043.087","264185247463.85","285823072411.449","286657659616.388","294977077341.941","326990067014.813","331564936084.87","339633425614.712","369523003864.207","404873187908.578","424530352843.471","466292761184.682","481141342054.774","496498585931.23","470467552799.67","478161809954","501521308570.397","524981932323.537","552280992804.361","572193305892.753","",
"Argentina","ARG","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13241360919.5518","11692121893.0009","6804814620.36135","6205991015.94511","6541114703.9618","6992451514.34829","7402586817.78883","7648432625.56006","8206768207.22595","8477591558.06441","8977769459.99019","9835742701.57703","11132713293.7678","12695834751.5139","14024814656.6168","15969454960.225","18077104187.2779","20562561750.2571","21981378511.3708","18871015949.0773","19286178299.7958","20192628679.6198","21646497945.2151","22404125372.6931","23165865635.6155","",
"American Samoa","ASM","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1061918329.98783","1083543618.14792","1092734103.99863","1151633582.28571","1224504603.0546","1173359266.09463","1252438531.41179","1313630693.13452","1371531251.06693","1428060345.57257","1500059853.6245","1452144313.3616","1494608664.21308","1582994311.85634","1666678042.1096","1768065874.63781","2004569441.56413","2194982379.88446","2196543254.2552","1932166977.42596","1794152457.65239","1761975488.69485","1832798830.6538","1831490874.83289","1890492449.28142","",
"Australia","AUS","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","488133941504.969","486054719081.461","488018646276.598","507615578172.353","528147248219.027","548645697606.679","570302310361.812","592792045134.384","619057861482.482","650037103098.909","675206637699.274","688229136035.984","714816085421.297","736827051872.666","767453893949.269","792138797759.192","815829035954.861","846505383327.262","877845492494.636","893048178002.864","910573052715.292","931711814020.96","966444338721.427","990720823841.018","1015240275741.3","",
"Austria","AUT","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","238418025294.55","246623513798.501","251786604426.565","253113067568.975","259193210929.726","266108392015.762","272490542016.413","278499038555.463","288413416743.632","298767512345.879","308831165823.047","313001967909.366","318184864430.628","320590815215.036","329265131808.302","336313770053.871","347583057432.397","360170699500.413","365743599314.573","351848635370.057","358463803698.06","369473753508.609","372739333227.977","373589258604.524","374712744573.022","",
"Azerbaijan","AZE","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60946791249.6116","60520163735.2054","46842606492.2018","36021964603.9666","28925637570.1392","25512412076.7171","25844073484.6787","27343029882.1875","30077332946.4722","32303055759.463","35888694707.6342","39441675483.6899","43622492770.0479","48508212063.743","53456049887.4524","67568447489.7946","90879561542.8867","113643982480.432","125886190467.364","137732903988.907","144418926509.107","144514131462.76","147693442627.257","156254756508.811","159379851638.987","",
"Burundi","BDI","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5889202771.34675","6183476602.12475","6245929614.75962","5856183606.84845","5631891774.89984","5185845946.29076","4770978270.51633","4695119716.14871","4918137902.2932","4868464709.66697","4826748585.33385","4925977225.89982","5145011759.82077","5082050812.40968","5327699755.95462","5375649053.9108","5665109338.39415","5936231951.16376","6235899991.3093","6452187532.08544","6696461063.94965","6977151645.62124","7257588873.80706","7591006441.60571","7944817041.22709","",
"Belgium","BEL","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","306978848539.296","312605971456.333","317390845815.889","314338013777.694","324481662685.949","332219712182.146","337372994737.072","350002156610.52","357024207532.338","370291334745.927","383438255858.584","386981985437.456","393017137555.198","396514127778.624","410133546168.464","417900874916.06","428892279029.994","441760510020.379","445972558658.735","434294032296.345","445155963023.353","452360001952.727","452779850300.787","454097953847.766","458941118093.138","",
