Country,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Aruba,ABW,"Population, total",SP.POP.TOTL,62148,64623,68235,72498,76700,80326,83195,85447,87276,89004,90858,92894,94995,97015,98742,100031,100830,101218,101342,101416,101597,101936,102393
Andorra,AND,"Population, total",SP.POP.TOTL,54511,56674,58904,61003,62707,63854,64291,64147,63888,64161,65399,67770,71046,74783,78337,81223,83373,84878,85616,85474,84419,82326,79316
Afghanistan,AFG,"Population, total",SP.POP.TOTL,12067570,12789374,13745630,14824371,15869967,16772522,17481800,18034130,18511480,19038420,19701940,20531160,21487079,22507368,23499850,24399948,25183615,25877544,26528741,27207291,27962207,28809167,29726803
Angola,AGO,"Population, total",SP.POP.TOTL,11127870,11472173,11848971,12246786,12648483,13042666,13424813,13801868,14187710,14601983,15058638,15562791,16109696,16691395,17295500,17912942,18541467,19183907,19842251,20520103,21219954,21942296,22685632
Albania,ALB,"Population, total",SP.POP.TOTL,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2904780,2900489
Arab World,ARB,"Population, total",SP.POP.TOTL,221928852,228177371,232406302,238577631,244799607,252465890,258300051,264052700,269737923,275492163,281355774,287358599,293501628,299853418,306505782,313508929,320912518,328668135,336662433,344702311,352640325,360761571,368914383
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,1811458,1913190,2019014,2127863,2238281,2350192,2467726,2595220,2733770,2884188,3050128,3217865,3394060,3625798,3975945,4481976,5171255,6010100,6900142,7705423,8329453,8734722,8952542
Argentina,ARG,"Population, total",SP.POP.TOTL,32729740,33193920,33655149,34110912,34558114,34994818,35419683,35833965,36241578,36648054,37057453,37471535,37889443,38309475,38728778,39145491,39558750,39969903,40381860,40798641,41222875,41655616,42095224
Armenia,ARM,"Population, total",SP.POP.TOTL,3544695,3511912,3449497,3369673,3289943,3223173,3173425,3137652,3112958,3093820,3076098,3060036,3047249,3036420,3025982,3014917,3002161,2988117,2975029,2966108,2963496,2967984,2978339
American Samoa,ASM,"Population, total",SP.POP.TOTL,47044,48379,49597,50725,51807,52874,53926,54942,55899,56768,57522,58176,58729,59117,59262,59117,58648,57904,57031,56226,55636,55316,55227
Antigua & Barbuda,ATG,"Population, total",SP.POP.TOTL,61906,62412,63434,64868,66550,68349,70245,72232,74206,76041,77648,78972,80030,80904,81718,82565,83467,84397,85350,86300,87233,88152,89069
Australia,AUS,"Population, total",SP.POP.TOTL,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22728254
Austria,AUT,"Population, total",SP.POP.TOTL,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784
Burundi,BDI,"Population, total",SP.POP.TOTL,5613141,5759429,5895131,6019901,6134041,6239030,6333415,6420397,6511920,6623707,6767073,6946720,7159918,7401215,7661613,7934213,8218070,8514578,8821795,9137786,9461117,9790151,10124572
Belgium,BEL,"Population, total",SP.POP.TOTL,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10920272,11047744,11128246
Benin,BEN,"Population, total",SP.POP.TOTL,5001271,5182525,5378226,5582420,5786794,5985658,6176318,6361301,6546493,6740491,6949366,7174911,7414744,7665681,7922796,8182362,8443717,8707637,8973525,9240982,9509798,9779391,10049792
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,8811033,9050090,9297116,9552473,9816586,10089876,10372809,10665781,10969093,11283016,11607944,11943740,12290984,12651596,13028039,13421929,13834195,14264002,14709011,15165856,15632066,16106851,16590813
Bangladesh,BGD,"Population, total",SP.POP.TOTL,105983136,108509679,110987459,113442354,115913710,118427768,120987124,123574107,126169583,128746273,131280739,133776064,136228456,138600174,140843786,142929979,144839238,146592687,148252473,149905836,151616777,153405612,155257387
Bulgaria,BGR,"Population, total",SP.POP.TOTL,8718289,8632367,8540164,8472313,8443591,8406067,8362826,8312068,8256786,8210624,8170172,8020282,7868468,7823557,7781161,7739900,7699020,7545338,7492561,7444443,7395599,7348328,7305888
Bahrain,BHR,"Population, total",SP.POP.TOTL,495944,509654,522748,535692,549151,563730,579855,597834,618054,640904,666855,694893,725365,761595,807989,867014,940808,1026568,1115777,1196774,1261319,1306014,1333577
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,256338,261117,266133,271165,275903,280151,283792,286968,290054,293572,297891,303138,309170,315757,322539,329243,335801,342259,348587,354780,360830,366711,372388
Bosnia & Herzegovina,BIH,"Population, total",SP.POP.TOTL,4526996,4437898,4301169,4141167,3992256,3879278,3810649,3779354,3775898,3784389,3792878,3799747,3808347,3817313,3825872,3833377,3838504,3840418,3839749,3837732,3835258,3832310,3828419
Belarus,BLR,"Population, total",SP.POP.TOTL,10189000,10194000,10216000,10239000,10227000,10194000,10160000,10117000,10069000,10035000,10005000,9928000,9865000,9797000,9730000,9663000,9604000,9560000,9528000,9507000,9490000,9473000,9464000
Belize,BLZ,"Population, total",SP.POP.TOTL,187552,191127,194321,197615,201678,206962,213674,221608,230289,239024,247312,254989,262202,269132,276085,283279,290751,298403,306165,313925,321609,329193,336707
Bermuda,BMU,"Population, total",SP.POP.TOTL,59326,59021,58595,58910,59320,59746,60129,60497,60943,61285,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798
Bolivia,BOL,"Population, total",SP.POP.TOTL,6856246,6992521,7131699,7273824,7418864,7566716,7717445,7870860,8026257,8182710,8339512,8496378,8653343,8810420,8967740,9125405,9283345,9441482,9599916,9758799,9918245,10078238,10238762
Brazil,BRA,"Population, total",SP.POP.TOTL,150393143,152916852,155379009,157812220,160260508,162755054,165303155,167893835,170516482,173153066,175786441,178419396,181045592,183627339,186116363,188479240,190698241,192784521,194769696,196701298,198614208,200517584,202401584
Barbados,BRB,"Population, total",SP.POP.TOTL,260374,261281,262184,263091,264015,264962,265940,266944,267949,268920,269838,270686,271479,272261,273091,274013,275040,276154,277315,278466,279566,280602,281580
Brunei,BRN,"Population, total",SP.POP.TOTL,256939,264365,271989,279717,287423,295010,302449,309746,316873,323812,330554,337074,343383,349557,355700,361889,368150,374459,380786,387080,393302,399443,405512
Bhutan,BTN,"Population, total",SP.POP.TOTL,535505,534678,528085,518847,511382,508897,512377,520917,533506,548387,564187,580784,598421,616474,634235,651163,666920,681471,694990,707830,720246,732246,743711
Botswana,BWA,"Population, total",SP.POP.TOTL,1379814,1420098,1460453,1500356,1539135,1576291,1611827,1645846,1678111,1708368,1736579,1762531,1786672,1810438,1835750,1864003,1895671,1930431,1967866,2007212,2047831,2089706,2132822
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2937832,3010950,3089141,3170848,3253698,3335840,3417163,3497910,3577028,3653310,3726048,3794677,3859784,3923294,3987896,4055608,4127112,4202104,4280405,4361492,4444973,4530903,4619500
